Time	Current
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.7	2.53
283.7	2.708
283.7	2.782
283.7	2.823
283.7	2.842
283.7	2.851
283.7	2.841
283.7	2.8600000000000003
283.7	2.867
283.7	2.897
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.8	2.873
283.8	2.712
283.8	2.67
283.8	2.653
283.8	2.57
283.8	2.5730000000000004
283.8	2.677
283.8	2.886
283.8	2.924
283.8	2.952
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
283.9	2.956
283.9	2.968
283.9	2.963
283.9	2.975
283.9	2.975
283.9	2.982
283.9	2.971
283.9	2.972
283.9	2.965
283.9	2.873
284.0	2.803
284.0	2.808
284.0	2.811
284.0	2.767
284.0	2.805
284.0	2.803
284.0	2.807
284.0	2.836
284.0	2.798
284.0	2.809
284.0	2.803
284.0	2.808
284.0	2.811
284.0	2.767
284.0	2.805
